Produkt,Cena,Nazwa alejki,Numer alejki,Półka,Kategoria produktu
Pasta z suszonych pomidorów,16.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Tapenade z oliwek,18.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Pesto bazyliowe,19.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Dip czosnkowy,12.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Sos tzatziki,13.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Guacamole,21.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Salsa pomidorowa,15.99,Delikatesy,4-5,Półka 4, Przekąski delikatesowe
Makaron spaghetti jajeczny,4.82,Produkty Podstawowe,6,Półka 1, Makarony
Makaron kokardki durum,3.99,Produkty Podstawowe,6,Półka 1, Makarony
Makaron świderki,4.5,Produkty Podstawowe,6,Półka 1, Makarony
Makaron rurki,4.99,Produkty Podstawowe,6,Półka 1, Makarony
Makaron wstążki,5.5,Produkty Podstawowe,6,Półka 1, Makarony
Makaron nitki,4.2,Produkty Podstawowe,6,Półka 1, Makarony
Makaron muszelki małe,4.8,Produkty Podstawowe,6,Półka 1, Makarony
Makaron muszelki duże,5.2,Produkty Podstawowe,6,Półka 1, Makarony
Makaron kolanka,4.3,Produkty Podstawowe,6,Półka 1, Makarony
Makaron łazanki,4.6,Produkty Podstawowe,6,Półka 1, Makarony
Makaron farfalle,5.72,Produkty Podstawowe,6,Półka 1, Makarony
Makaron penne,5.5,Produkty Podstawowe,6,Półka 1, Makarony
Makaron tagliatelle,6.4,Produkty Podstawowe,6,Półka 1, Makarony
Makaron fettuccine,6.2,Produkty Podstawowe,6,Półka 1, Makarony
Makaron rigatoni,5.9,Produkty Podstawowe,6,Półka 1, Makarony
Makaron fusilli,4.9,Produkty Podstawowe,6,Półka 1, Makarony
Makaron cyferki,4.82,Produkty Podstawowe,6,Półka 1, Makarony
Makaron zacierka,4.2,Produkty Podstawowe,6,Półka 1, Makarony
Makaron krajanka,4.5,Produkty Podstawowe,6,Półka 1, Makarony
Makaron gwiazdki,4.3,Produkty Podstawowe,6,Półka 1, Makarony
Ryż biały długoziarnisty,5.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż jaśminowy,8.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż basmati,11.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż brązowy,7.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż parboiled,6.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż do sushi,11.5,Produkty Podstawowe,6,Półka 2, Ryż
Ryż arborio,9.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż czerwony,10.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż dziki,11.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż carnaroli,10.5,Produkty Podstawowe,6,Półka 2, Ryż
Ryż tajski,8.5,Produkty Podstawowe,6,Półka 2, Ryż
Ryż okrągły,5.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż do risotto,9.5,Produkty Podstawowe,6,Półka 2, Ryż
Ryż czarny,11.5,Produkty Podstawowe,6,Półka 2, Ryż
Ryż kleisty,8.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż naturalny,7.5,Produkty Podstawowe,6,Półka 2, Ryż
Ryż pełnoziarnisty,8.2,Produkty Podstawowe,6,Półka 2, Ryż
Ryż do paelli,9.99,Produkty Podstawowe,6,Półka 2, Ryż
Ryż włoski,10.5,Produkty Podstawowe,6,Półka 2, Ryż
Ryż indyjski,9.99,Produkty Podstawowe,6,Półka 2, Ryż
Kasza jęczmienna perłowa,3.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza gryczana,8.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza jaglana,8,Produkty Podstawowe,6,Półka 3, Kasze
Kasza manna,3.5,Produkty Podstawowe,6,Półka 3, Kasze
Kasza pęczak,4,Produkty Podstawowe,6,Półka 3, Kasze
Kasza bulgur,6.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza kuskus,5.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza jęczmienna mazurska,3.8,Produkty Podstawowe,6,Półka 3, Kasze
Kasza gryczana prażona,8.5,Produkty Podstawowe,6,Półka 3, Kasze
Kasza orkiszowa,7.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza kukurydziana,6.5,Produkty Podstawowe,6,Półka 3, Kasze
Kasza owsiana,4.5,Produkty Podstawowe,6,Półka 3, Kasze
Kasza żytnia,4.2,Produkty Podstawowe,6,Półka 3, Kasze
Kasza quinoa,8.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza amarantus,8.5,Produkty Podstawowe,6,Półka 3, Kasze
Kasza jęczmienna wiejska,3.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza gryczana niepalona,7.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza jaglana bio,8.99,Produkty Podstawowe,6,Półka 3, Kasze
Kasza teff,8.5,Produkty Podstawowe,6,Półka 3, Kasze
Kasza sorgo,7.99,Produkty Podstawowe,6,Półka 3, Kasze
Mąka pszenna typ 450,4.97,Produkty Podstawowe,6,Półka 4, Mąka
Mąka pszenna typ 500,5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka żytnia typ 720,5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka tortowa,6,Produkty Podstawowe,6,Półka 4, Mąka
Mąka krupczatka,5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka graham,5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka razowa,5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka pszenna typ 650,5.5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka żytnia typ 580,6,Produkty Podstawowe,6,Półka 4, Mąka
Mąka pszenna typ 750,5.5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka do pizzy,6.5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka chlebowa,5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka uniwersalna,4.5,Produkty Podstawowe,6,Półka 4, Mąka
Mąka luksusowa,4.8,Produkty Podstawowe,6,Półka 4, Mąka
Mąka puszysta,4.9,Produkty Podstawowe,6,Półka 4, Mąka
Mąka poznańska,5.2,Produkty Podstawowe,6,Półka 4, Mąka
Mąka wrocławska,5.3,Produkty Podstawowe,6,Półka 4, Mąka
Mąka krakowska,5.4,Produkty Podstawowe,6,Półka 4, Mąka
Mąka śląska,5.6,Produkty Podstawowe,6,Półka 4, Mąka
Mąka mazowiecka,5.7,Produkty Podstawowe,6,Półka 4, Mąka
Sardynki w sosie pomidorowym,"5,15 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Sardynki w oleju,"5,36 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Szproty w sosie pomidorowym,"5,90 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Caro szproty w oleju,"5,90 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Sardynki Rio Mare,"6,83 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Królewska sardynka w pomidorach,"7,10 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Filety śledziowe w oleju,"7,30 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Szproty wędzone w oleju,"7,51 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Filety śledziowe w oleju BMC,"7,77 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Szprot podwędzany w oleju,"7,79 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Filety z makreli w pomidorach,"7,82 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Filety z makreli w sosie chili,"7,90 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Filety z makreli w oleju,"8,40 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Tuńczyk kawałki w oleju,"8,50 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Sałatka z tuńczyka meksykańska,"8,30 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Byczki w sosie pomidorowym,"9,35 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Makrela w sosie pomidorowym,"9,35 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Tuńczyk w sosie własnym,"10,50 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Tuńczyk kawałki w oleju Helcom,"11,03 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Pasztet z tuńczyka,"12,10 zł/szt",Konserwy,7,Półka 1, Konserwy rybne
Mielonka tyrolska,"7,94 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Mielonka turystyczna,"8,00 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Smalec wojskowy,"8,39 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Kaszanka z cebulką,"8,82 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Mielonka wieprzowa extra,"8,57 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Mielonka gatunkowa extra,"9,14 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Mięsiwo kresowe,"9,32 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Kiełbasa wojskowa,"9,52 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Kurczak w sosie curry,"10,50 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Kurczak w sosie meksykańskim,"10,50 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Kiełbasa wekowa wojskowa,"11,24 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Zupa cebulowa z mięsem,"13,90 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Zupa jarzynowa z mięsem,"14,40 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Grochówka żołnierska,"14,18 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Klopsiki w sosie pomidorowym,"16,51 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Pulpety w sosie koperkowym,"16,71 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Kapusta z kiełbasą,"16,79 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Pulpety w sosie cebulowym,"17,22 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Słonina wojskowa,"18,27 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Paprykarz łowicki,"17,36 zł/szt",Konserwy,7,Półka 2, Konserwy mięsne
Kukurydza konserwowa,"4,50 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Groszek konserwowy,"4,80 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Fasola czerwona,"5,20 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Fasola biała,"5,40 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Ciecierzyca,"5,60 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Marchewka mini,"5,90 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Ogórki konserwowe,"6,20 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Papryka konserwowa,"6,50 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Buraczki wiórki,"6,80 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Seler konserwowy,"7,10 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Pieczarki marynowane,"7,40 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Kapusta kiszona,"7,70 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Ogórki kiszone,"8,00 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Mieszanka warzywna,"8,30 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Szparagi,"8,60 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Pomidory suszone,"8,90 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Sałatka wielowarzywna,"9,20 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Papryka marynowana,"9,50 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Czosnek marynowany,"9,80 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Mix warzyw grillowanych,"9,99 zł/szt",Konserwy,7,Półka 3, Konserwy warzywne
Dżem truskawkowy,"5,50 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem wiśniowy,"5,80 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem brzoskwiniowy,"6,10 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Powidła śliwkowe,"6,40 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura malinowa,"6,70 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura z czarnej porzeczki,"7,00 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem z moreli,"7,30 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura jagodowa,"7,60 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem z czerwonej porzeczki,"7,90 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura z dzikiej róży,"8,20 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem z owoców leśnych,"8,50 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura żurawinowa,"8,80 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem figowy,"9,10 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura z pigwy,"9,40 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem rabarbarowy,"9,70 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura z płatków róży,"10,00 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem z czarnego bzu,"10,30 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura z derenia,"10,60 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Dżem z agrestu,"10,90 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Konfitura z mirabelek,"11,20 zł/szt",Konserwy,7,Półka 4, Przetwory owocowe
Cynamon cejloński mielony,"13,95 zł/100g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Pieprz czarny mielony,"6,90 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Papryka słodka,"4,00 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Kurkuma mielona,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Imbir mielony,"4,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Kolendra mielona,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Kardamon mielony,"14,90 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Kminek mielony,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Gałka muszkatołowa,"6,90 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Goździki mielone,"7,90 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Curry mielone,"4,00 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Bazylia suszona,"3,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Oregano suszone,"3,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Tymianek suszony,"3,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Rozmaryn suszony,"4,00 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Majeranek suszony,"3,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Lubczyk suszony,"4,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Estragon suszony,"4,00 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Szałwia suszona,"3,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Mięta suszona,"3,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Koperek suszony,"3,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Pietruszka suszona,"3,50 zł/20g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Czosnek granulowany,"4,00 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Cebula suszona,"4,00 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Chili mielone,"4,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Gorczyca mielona,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Ziele angielskie mielone,"4,00 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Liść laurowy mielony,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Jałowiec mielony,"4,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Anyż mielony,"5,50 zł/50g",Przyprawy i Dodatki,8,Półka 1, Przyprawy sypkie
Przyprawa do kurczaka,"4,00 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do grilla,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do ryb,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do ziemniaków,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do mięsa mielonego,"3,50 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Zioła prowansalskie,"4,00 zł/30g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Garam masala,"6,49 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Czubryca czerwona,"3,39 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Czubryca zielona,"3,49 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa gyros,"3,59 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa kebab,"3,39 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do pizzy,"3,49 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do sałatek,"3,39 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do zup,"3,59 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do gulaszu,"3,49 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do bigosu,"3,39 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do flaków,"3,59 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do wieprzowiny,"3,49 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do wołowiny,"3,59 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do drobiu,"3,49 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do dziczyzny,"3,99 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do jagnięciny,"3,89 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do kaczki,"3,79 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do indyka,"3,69 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do schabu,"3,59 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do karczku,"3,49 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do żeberek,"3,69 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do golonki,"3,79 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do karkówki,"3,89 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Przyprawa do szaszłyków,"3,99 zł/50g",Przyprawy i Dodatki,8,Półka 2, Mieszanki przypraw
Sos sałatkowy francuski,"2,09 zł/8g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos pesto z bazylią,"11,79 zł/190g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos Butter Chicken,"12,39 zł/450g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos Korma,"12,39 zł/450g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos Tikka Masala,"12,39 zł/450g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Salsa Dip Mild,"9,49 zł/300g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Cheese Dip,"8,99 zł/300g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Dressing Cezar,"17,73 zł/1kg",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos czosnkowy,"8,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos meksykański,"9,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos pomidorowy,"7,99 zł/500g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos sojowy,"6,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos barbecue,"9,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos słodko-kwaśny,"8,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos chipotle,"11,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos sriracha,"12,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos teriyaki,"10,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos worcestershire,"9,99 zł/150ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos tabasco,"13,99 zł/60ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos sweet chili,"8,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos tzatziki,"7,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos remoulade,"8,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos tatarski,"7,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos curry,"9,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos winegret,"7,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos thousand islands,"8,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos blue cheese,"10,99 zł/250g",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos ranch,"9,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos miodowo-musztardowy,"8,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Sos włoski,"7,99 zł/250ml",Przyprawy i Dodatki,8,Półka 3, Sosy i dressingi
Posypka cukrowa kolorowa,"3,00 zł/25g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Barwnik spożywczy czerwony,"10,00 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Masa cukrowa biała,"12,00 zł/250g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Lukier plastyczny,"15,00 zł/200g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Guma tragakant,"25,00 zł/50g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Guma arabska,"17,00 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Izomalt,"26,90 zł/500g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka tortowa,"23,00 zł/80g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Pałeczki cukrowe złote,"3,00 zł/25g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Barwnik w proszku złoty,"18,90 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Perełki cukrowe srebrne,"7,50 zł/50g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka czekoladowa,"6,90 zł/50g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Barwnik spożywczy niebieski,"10,00 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Barwnik spożywczy zielony,"10,00 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Barwnik spożywczy żółty,"10,00 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka metaliczna,"15,90 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Gliceryna spożywcza,"9,00 zł/60ml",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Kakao do dekoracji,"14,90 zł/100g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Wiórki kokosowe kolorowe,"8,90 zł/50g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka cukrowa tęczowa,"7,90 zł/50g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Barwnik w żelu czerwony,"12,90 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Barwnik w żelu czarny,"12,90 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka holograficzna,"16,90 zł/20g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Brokat spożywczy,"19,90 zł/10g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Pisaki spożywcze,"24,90 zł/kpl",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Płatki migdałowe,"15,90 zł/100g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka orzechowa,"12,90 zł/100g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka makowa,"8,90 zł/100g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka kruszonka,"9,90 zł/100g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Posypka karmelowa,"10,90 zł/100g",Przyprawy i Dodatki,8,Półka 4, Dodatki do ciast
Milka Winter Biscuit,3.89,Słodycze,9,Półka 1, Czekolady
Goplana gorzka 75% kakao,4.99,Słodycze,9,Półka 1, Czekolady
Goplana mleczna,5.55,Słodycze,9,Półka 1, Czekolady
Goplana śmietankowa,5.35,Słodycze,9,Półka 1, Czekolady
Wedel mleczna z orzechami,4.78,Słodycze,9,Półka 1, Czekolady
Alpinella mleczna,3.59,Słodycze,9,Półka 1, Czekolady
Baron mleczna,4.79,Słodycze,9,Półka 1, Czekolady
Roshen gorzka bąbelkowa,3.99,Słodycze,9,Półka 1, Czekolady
Cadbury mleczna z orzechami,8.9,Słodycze,9,Półka 1, Czekolady
Milka mleczna,4.99,Słodycze,9,Półka 1, Czekolady
Milka Oreo,5.99,Słodycze,9,Półka 1, Czekolady
Wedel gorzka,5.5,Słodycze,9,Półka 1, Czekolady
Wedel mleczna,4.99,Słodycze,9,Półka 1, Czekolady
Lindt Excellence 70%,11.99,Słodycze,9,Półka 1, Czekolady
